时间,烟气层,CO,透光,1D,0.5D,辐射3,1.5D,1-1,1-2,1-3,1-4,1-5,1-6,1-7,1-8,1-9,1-10,1-11,1-12,1-13,1-14,1-15,1-16,1-17,1-18,1-19,1-20,1-21,1-22,1-23,1-24,1-25,1-26,1-27,1-28,1-29,1-30,1-31,1-32,1-33,1-34,1-35,1-36,1-37,1-38,1-39,1-40,2-1,2-2,2-3,2-4,2-5,2-6,2-7,2-8,2-9,2-10,2-11,2-12,2-13,2-14,2-15,2-16,2-17,2-18,2-19,2-20,2-21,2-22,2-23,2-24,2-25,2-26,2-27,2-28,2-29,2-30,2-31,2-32,2-33,2-34,2-35,2-36,2-37,2-38,2-39,2-40,3-1,3-2,3-3,3-4,3-5,3-6,3-7,3-8,3-9,3-10,3-11,3-12,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23,3-24,3-25,3-26,3-27,3-28,3-29,3-30,3-31,3-32,3-33,3-34,3-35,3-36,3-37,3-38,3-39,3-40,4-1,4-2,4-3,4-4,4-5,4-6,4-7,4-8,4-9,4-10,4-11,4-12,4-13,4-14,4-15,4-16,4-17,4-18,4-19,4-20,4-21,4-22,4-23,4-24,4-25,4-26,4-27,4-28,4-29,4-30,4-31,4-32,4-33,4-34,4-35,4-36,4-37,4-38,4-39,4-40,layer1_mean,layer2_mean,layer3_mean,layer4_mean
389.0,,86.0,0.6001,0.38,0.418,-0.03,0.204,44.0,43.0,44.0,45.0,42.0,43.0,49.0,46.0,49.0,47.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,46.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,54.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,46.0,47.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,45.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,45.0,44.0,43.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,47.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,42.0,44.0,43.0,44.0,41.0,44.0,44.0,44.0,43.0,44.0,45.0,45.0,41.0,44.0,43.0,44.0,44.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,44.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.69444444444444,45.375,43.925,43.625
390.0,,86.0,0.601,0.38,0.406,-0.025,0.164,44.0,43.0,44.0,45.0,42.0,43.0,49.0,46.0,49.0,47.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,46.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,46.0,47.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,45.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,45.0,44.0,43.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,42.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,44.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,44.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.666666666666664,45.375,43.9,43.6875
391.0,,86.0,0.6026,0.389,0.406,-0.025,0.191,44.0,43.0,44.0,45.0,42.0,43.0,49.0,46.0,49.0,47.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,46.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,46.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,45.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,45.0,44.0,43.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,42.0,44.0,43.0,44.0,42.0,44.0,44.0,43.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,44.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,44.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.666666666666664,45.325,43.9,43.65625
392.0,,81.0,0.6038,0.397,0.4,-0.025,0.191,44.0,43.0,44.0,45.0,42.0,43.0,49.0,46.0,49.0,47.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,46.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,46.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,45.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,45.0,44.0,44.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,42.0,44.0,43.0,44.0,42.0,44.0,44.0,43.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,44.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,44.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.666666666666664,45.325,43.925,43.65625
393.0,,81.0,0.6038,0.38,0.43,-0.02,0.191,44.0,43.0,44.0,45.0,42.0,43.0,49.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,46.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,46.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,45.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,42.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,44.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,44.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.638888888888886,45.3,43.925,43.6875
394.0,,81.0,0.6038,0.38,0.388,-0.025,0.171,44.0,43.0,44.0,45.0,42.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,46.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,46.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,45.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,42.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,44.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.611111111111114,45.3,43.925,43.65625
395.0,,81.0,0.6038,0.389,0.382,-0.025,0.218,44.0,43.0,44.0,45.0,42.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,46.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,46.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,45.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,47.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,42.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,44.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.611111111111114,45.3,43.95,43.65625
396.0,,81.0,0.6054,0.393,0.4,-0.025,0.224,44.0,43.0,44.0,45.0,42.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,46.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,47.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,45.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,47.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,42.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,44.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.611111111111114,45.325,43.95,43.65625
397.0,,81.0,0.6059,0.372,0.394,-0.025,0.224,44.0,43.0,44.0,45.0,42.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,46.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,47.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,45.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,47.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,42.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,45.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.611111111111114,45.325,43.95,43.6875
398.0,,81.0,0.6075,0.385,0.406,-0.02,0.211,44.0,43.0,44.0,45.0,42.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,47.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,45.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,47.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,42.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,45.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.583333333333336,45.325,43.95,43.6875
399.0,,81.0,0.6075,0.393,0.412,-0.025,0.211,44.0,43.0,44.0,45.0,42.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,47.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,45.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,42.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,45.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.583333333333336,45.325,43.925,43.6875
400.0,,81.0,0.6084,0.38,0.412,-0.025,0.204,44.0,43.0,44.0,45.0,42.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,46.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,45.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,43.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,45.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.583333333333336,45.3,43.95,43.6875
401.0,,81.0,0.6087,0.368,0.43,-0.025,0.184,44.0,43.0,44.0,45.0,43.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,46.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,45.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,46.0,44.0,44.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,43.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,44.0,45.0,45.0,41.0,44.0,43.0,44.0,45.0,45.0,44.0,44.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.611111111111114,45.35,43.95,43.625
402.0,,76.0,0.6096,0.38,0.394,-0.025,0.184,44.0,43.0,44.0,45.0,43.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,47.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,46.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,46.0,44.0,44.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,42.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,45.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.611111111111114,45.4,43.925,43.6875
403.0,,76.0,0.6101,0.38,0.394,-0.025,0.224,44.0,43.0,44.0,45.0,43.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,47.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,46.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,46.0,44.0,44.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,42.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,45.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.611111111111114,45.4,43.925,43.6875
404.0,,76.0,0.6108,0.385,0.418,-0.025,0.244,44.0,43.0,44.0,45.0,43.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,47.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,46.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,46.0,44.0,44.0,45.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,42.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,44.0,45.0,45.0,41.0,44.0,43.0,44.0,45.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.611111111111114,45.4,43.925,43.65625
405.0,,76.0,0.6115,0.397,0.382,-0.025,0.218,44.0,43.0,44.0,45.0,43.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,47.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,46.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,46.0,44.0,44.0,44.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,43.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,44.0,45.0,45.0,41.0,44.0,43.0,44.0,45.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.611111111111114,45.4,43.925,43.65625
406.0,,76.0,0.6127,0.402,0.394,-0.025,0.204,44.0,43.0,44.0,45.0,43.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,47.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,46.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,46.0,44.0,44.0,44.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,43.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,45.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.611111111111114,45.4,43.925,43.6875
407.0,,76.0,0.6139,0.402,0.376,-0.025,0.204,44.0,43.0,44.0,45.0,43.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,47.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,46.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,46.0,44.0,44.0,44.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,43.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,45.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,44.0,,,,,,,,,45.611111111111114,45.4,43.925,43.6875
408.0,,76.0,0.6141,0.389,0.418,-0.025,0.218,44.0,43.0,44.0,45.0,43.0,43.0,48.0,46.0,49.0,46.0,49.0,48.0,44.0,46.0,49.0,47.0,44.0,45.0,45.0,46.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0,44.0,,,43.0,44.0,45.0,45.0,,,51.0,53.0,44.0,48.0,44.0,45.0,46.0,46.0,47.0,48.0,46.0,49.0,43.0,44.0,45.0,47.0,47.0,48.0,46.0,47.0,43.0,44.0,45.0,46.0,45.0,47.0,46.0,46.0,43.0,44.0,45.0,46.0,45.0,46.0,47.0,45.0,42.0,44.0,44.0,45.0,45.0,45.0,46.0,44.0,44.0,44.0,45.0,45.0,44.0,48.0,46.0,45.0,41.0,44.0,44.0,44.0,45.0,47.0,45.0,45.0,41.0,43.0,44.0,44.0,43.0,46.0,44.0,44.0,42.0,43.0,43.0,44.0,42.0,45.0,44.0,45.0,41.0,43.0,43.0,43.0,43.0,44.0,43.0,44.0,42.0,44.0,44.0,44.0,43.0,45.0,45.0,45.0,41.0,44.0,43.0,44.0,45.0,45.0,44.0,45.0,41.0,44.0,43.0,43.0,46.0,45.0,43.0,44.0,41.0,43.0,42.0,42.0,47.0,44.0,43.0,43.0,,,,,,,,,45.611111111111114,45.4,43.925,43.65625
